OID_,Join_Count,LILATracts,LILATrac_1,LILATrac_2,LILATrac_3,MedianFami,TractHUNV,TractSNAP,FIPS,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,OBESITY_CrudePrev,Shape_Length,Shape_Area
997,2,0,0,0,0,14.1,48,128,6037293202,0.907,0.6007,0.9112,0.6947,0.8661,29,0.042609622,0.000102459
998,6,0,0,0,0,3.9,10,14,6037106641,0.1553,0.5934,0.2551,0.0605,0.1226,19.2,0.080064211,0.000112894
999,5,0,1,0,0,28.7,210,184,6037185100,0.5073,0.0851,0.6462,0.6005,0.4723,23.3,0.080985127,0.000224075
1000,9,0,1,0,0,22.2,78,114,6037183702,0.6062,0.2287,0.6695,0.8855,0.6739,22.9,0.061796414,8.65914E-05
1001,4,0,1,0,1,37.3,201,193,6037199120,0.9684,0.8812,0.9307,0.946,0.9882,26.9,0.095247444,9.38225E-05
1002,4,0,0,0,0,28.9,254,221,6037199201,0.9165,0.8673,0.9577,0.6683,0.9226,25.7,0.037112077,3.87519E-05
1003,3,0,0,0,0,28.9,317,150,6037199120,0.9684,0.8812,0.9307,0.946,0.9882,26.9,0.095247444,9.38225E-05
1004,6,0,0,0,0,24.3,95,122,6037201110,0.5149,0.7783,0.8046,0.8901,0.7727,27.2,0.074475812,9.97283E-05
1005,6,0,1,0,1,20.6,113,164,6037199110,0.8158,0.7519,0.8758,0.4653,0.7776,27.2,0.041809034,9.01458E-05
1006,6,0,0,0,0,10.7,29,83,6037201110,0.5149,0.7783,0.8046,0.8901,0.7727,27.2,0.074475812,9.97283E-05
1007,6,0,0,0,0,10.5,146,33,6037183702,0.6062,0.2287,0.6695,0.8855,0.6739,22.9,0.061796414,8.65914E-05
1008,4,0,0,0,0,32,91,177,6037201200,0.7153,0.7767,0.8975,0.2997,0.6899,28.7,0.042913944,4.17474E-05
1009,4,0,0,0,0,0,0,0,6037137000,0.2371,0.4802,0.2393,0.3211,0.2669,21.3,0.127876074,0.000295492
1010,4,0,0,0,0,37,444,138,6037221401,0.7871,0.9596,0.8003,0.9511,0.9619,33.7,0.029356954,5.26693E-05
1011,3,0,0,0,0,35.3,193,232,6037221302,0.6873,0.4161,0.9654,0.9419,0.8514,30.1,0.032155587,4.51622E-05
1012,3,0,0,0,0,46.3,251,71,6037221210,0.7699,0.4675,0.9584,0.8075,0.8331,28.9,0.040485458,3.5108E-05
1013,3,0,0,0,0,17.7,73,157,6037219901,0.899,0.5601,0.8587,0.549,0.8002,33,0.039698408,5.135E-05
1014,4,0,0,0,0,27.4,213,131,6037218702,0.8348,0.5499,0.9074,0.9224,0.9086,33.3,0.032346924,3.50373E-05
1015,5,0,0,0,0,19.9,127,179,6037218600,0.6442,0.1674,0.7483,0.8457,0.6767,32,0.028968767,4.15324E-05
1016,5,0,0,0,0,13.1,234,58,6037216700,0.4939,0.277,0.4506,0.6875,0.5074,25.6,0.036141431,7.58344E-05
1017,6,0,0,0,0,12.7,117,97,6037216401,0.3968,0.4631,0.4003,0.8947,0.5762,20.4,0.030559431,3.98804E-05
1018,3,0,0,0,0,14.6,140,15,6037216401,0.3968,0.4631,0.4003,0.8947,0.5762,20.4,0.030559431,3.98804E-05
1019,6,0,0,0,0,14.6,316,103,6037216401,0.3968,0.4631,0.4003,0.8947,0.5762,20.4,0.030559431,3.98804E-05
1020,4,0,0,0,0,18.4,400,28,6037211000,0.1031,0.1253,0.299,0.5475,0.2124,18.2,0.081881848,0.000259511
1021,6,0,0,0,0,16.7,212,62,6037214501,0.2552,0.0725,0.4202,0.3501,0.2174,16.7,0.082891904,7.33906E-05
1022,5,0,0,0,0,16.1,243,13,6037214000,0.256,0.4442,0.2028,0.3178,0.257,19.9,0.070102937,9.86369E-05
1023,5,0,0,0,0,7.7,47,10,6037212610,0.6235,0.2098,0.8784,0.6732,0.654,17.7,0.038081945,3.4741E-05
1024,5,0,0,0,0,10.8,317,59,6037212410,0.7236,0.0151,0.9603,0.908,0.6716,20.8,0.023025183,1.53056E-05
1025,2,0,1,0,0,26.8,54,107,6037277400,0.7272,0.3675,0.694,0.5274,0.6467,31.4,0.031160571,6.0379E-05
1026,6,0,0,0,0,7.2,94,50,6037181400,0.5548,0.4723,0.6281,0.9629,0.738,20.2,0.056904062,8.55815E-05
1027,5,0,1,0,1,41.4,335,287,6037242100,0.994,0.7463,0.9083,0.8222,0.9646,40.5,0.029956346,4.47356E-05
1028,5,0,1,0,0,31.3,147,297,6037242000,0.9753,0.8964,0.8933,0.6711,0.9435,34.1,0.049515807,6.22437E-05
1029,3,0,1,0,1,67.8,394,659,6037242600,0.9992,0.7958,0.9205,0.7805,0.9684,39.4,0.039373025,4.6373E-05
1030,5,0,1,0,0,39.9,160,409,6037242700,0.943,0.696,0.9573,0.4168,0.8316,36.9,0.070316196,9.88421E-05
1031,4,0,1,0,1,30.4,163,373,6037243000,0.9732,0.559,0.9667,0.6102,0.8853,33.1,0.044986123,6.97001E-05
1032,8,0,0,0,0,6.5,41,0,6037143901,0.2103,0.2789,0.1031,0.2075,0.1448,19.3,0.145550465,0.000516589
1033,7,0,0,0,0,10.1,62,0,6037141700,0.0508,0.1097,0.1123,0.0083,0.0034,19.1,0.102018504,0.000316409
1034,5,0,1,0,1,47.1,358,547,6037243000,0.9732,0.559,0.9667,0.6102,0.8853,33.1,0.044986123,6.97001E-05
1035,4,0,0,0,0,10.3,97,28,6037272100,0.4175,0.3305,0.4282,0.3892,0.3823,22.2,0.045265354,0.000117085
1036,5,0,0,0,0,12.8,41,9,6037273100,0.1466,0.3362,0.2327,0.063,0.084,20.6,0.082346493,0.000114376
1037,4,0,0,0,0,22.7,194,112,6037273100,0.1466,0.3362,0.2327,0.063,0.084,20.6,0.082346493,0.000114376
1038,5,0,0,0,0,12.5,150,148,6037273200,0.5295,0.2104,0.457,0.5716,0.4749,25,0.036292691,6.26587E-05
1039,5,0,0,0,0,11.7,117,7,6037272202,0.4591,0.0557,0.5685,0.6345,0.4139,24.1,0.026610812,2.96289E-05
1040,5,0,0,0,0,29.9,537,160,6037191120,0.8258,0.4123,0.7114,0.9991,0.9416,27.1,0.051584506,3.70837E-05
1041,3,0,0,0,0,5.2,20,18,6037201110,0.5149,0.7783,0.8046,0.8901,0.7727,27.2,0.074475812,9.97283E-05
1042,1,0,0,0,0,11.1,103,20,6037201120,0.8101,0.7356,0.8064,0.4058,0.7357,28.1,0.060607867,7.67338E-05
1043,7,1,1,1,0,23.6,123,128,6037102103,0.4497,0.2498,0.3779,0.1098,0.245,20.9,0.052901742,0.00011642
1044,9,0,0,0,0,14.1,66,82,6037119001,0.6696,0.7401,0.8073,0.233,0.6162,23.4,0.086187487,0.000105195
1045,6,0,1,0,0,25.8,282,221,6037119700,0.508,0.3798,0.6512,0.3602,0.4838,20.8,0.085396667,0.000128369
1046,2,0,0,0,0,9.4,83,80,6037543502,0.6694,0.7625,0.8125,0.6564,0.7513,25.24,0.021902728,1.15533E-06
1047,4,0,1,0,0,18,135,126,6037201120,0.8101,0.7356,0.8064,0.4058,0.7357,28.1,0.060607867,7.67338E-05
1048,6,1,1,1,1,14.2,125,137,6037199120,0.9684,0.8812,0.9307,0.946,0.9882,26.9,0.095247444,9.38225E-05
1049,5,0,1,0,1,31.6,110,32,6037199120,0.9684,0.8812,0.9307,0.946,0.9882,26.9,0.095247444,9.38225E-05
1050,3,1,1,1,1,44.7,331,386,6037201402,0.7185,0.9201,0.8719,0.7197,0.8529,24.8,0.065066777,0.000188952
1051,6,0,1,0,1,26.9,162,165,6037199900,0.9302,0.8822,0.9759,0.6114,0.9239,28.5,0.032501674,4.32861E-05
1052,3,0,1,0,1,30.8,190,182,6037203200,0.7431,0.9233,0.9421,0.6178,0.8532,29.8,0.04358947,4.95248E-05
1053,3,0,1,0,1,32.9,242,301,6037203100,0.9024,0.9261,0.985,0.6934,0.9421,32.3,0.052221284,6.47333E-05
1054,7,0,1,0,0,53.4,166,163,6037203500,0.7061,0.8384,0.904,0.984,0.9448,29.8,0.059070132,0.0001611
1055,5,0,1,0,0,24.1,190,185,6037203200,0.7431,0.9233,0.9421,0.6178,0.8532,29.8,0.04358947,4.95248E-05
1056,5,0,0,0,0,53.1,343,186,6037203600,0.7279,0.7046,0.9818,0.8534,0.8765,30,0.059852644,5.46456E-05
1057,6,0,0,0,0,25.4,150,102,6037203800,0.8499,0.8653,0.9236,0.5153,0.8503,31.6,0.028030387,4.75022E-05
1058,5,0,0,0,0,37.6,370,229,6037204110,0.8623,0.641,0.9446,0.4563,0.7907,29.4,0.03093189,5.89235E-05
1059,7,0,0,0,0,18,74,48,6037103101,0.4414,0.3977,0.3227,0.0789,0.2362,22.7,0.095132256,0.000193038
1060,4,0,0,0,0,9,100,81,6037101110,0.6572,0.6858,0.4662,0.8721,0.7248,24.8,0.058626006,0.00011208
1061,5,0,0,0,0,4.2,91,0,6037291300,0.2151,0.6264,0.6094,0.4425,0.4155,16.8,0.097580917,0.000233855
1062,5,0,0,0,0,15.8,137,43,6037215102,0.1914,0.0053,0.27,0.3633,0.0673,18.6,0.034012407,2.58883E-05
1063,8,0,0,0,0,10,144,0,6037214700,0.2588,0.3644,0.0975,0.505,0.2801,18.9,0.031890092,5.79268E-05
1064,7,0,0,0,0,9.6,205,133,6037216300,0.1124,0.0832,0.2985,0.2152,0.0959,19.2,0.076970857,0.000123998
1065,3,0,0,0,0,15.3,102,108,6037216700,0.4939,0.277,0.4506,0.6875,0.5074,25.6,0.036141431,7.58344E-05
1066,3,0,0,0,0,16.1,71,23,6037216700,0.4939,0.277,0.4506,0.6875,0.5074,25.6,0.036141431,7.58344E-05
1067,3,0,0,0,0,26.3,216,30,6037211120,0.7902,0.0113,0.9476,0.8591,0.6644,17,0.036772254,5.52689E-05
1068,4,0,0,0,0,26.7,272,146,6037211201,0.7072,0.077,0.9348,0.961,0.7737,27.3,0.029522515,1.36255E-05
